"number","short_description","close_notes"
"INC0649017","CCUI unable to open reservationsSystem is showing ""Keine Buchungen, die Ihren ","Root cause:
The issue occurred during an outage on the Oracle end, resulting in business events not being published, which caused CCUI to display 'Keine Buchungen, die Ihren Suchkriterien entsprechen' when attempting to open reservations. 

Resolution steps:
- Checked the reservations and confirmed they are now visible in CCUI after the Oracle outage was resolved, allowing business events to be published successfully."
"INC0648855","[P-26041007] [Distribution Problem] Payment Tokenization Failure Monitor from 9:28?AM UTC","The alert was triggered because Planet was returning an empty token, which caused some transactions to move to RE status. We observed 8 failed transactions from the Distribution side and 13 failed token requests from the Digital side. The issue was identified and resolved within 5 minutes."
"INC0648767","[P-2604995] [Problem] AEM Content Replication error from 07:36?AM BST","Resolution notes copied from Parent Incident: As the publisher queue is blocked, we have updated the transport uri http://10.150.188.39:4503/bin/receive?sling:authRequestLogin=1 for one the publisher."
"INC0648755","PIB SRP and HDP were very slow to load, with the spinner continuing to spin indefinitely  during the testing of an hotfix","Issue Summary : PIB SRP and HDP were slow to load around 6:30AM 27th Apr, with the spinner continuing to spin indefinitely across different browsers as well as incognito mode.

Solution Provided : During the issue window, we analyzed the calls made to PIB SRP and PIB HDP and observed that most requests to Opera for fetching rate information, availability, and minimum rate availability were responding slower (~ 4-5secs) than usual, which led to increased load times. The issue was intermittent and persisted for approximately 15–20 minutes. Subsequently, PIB SRP and HDP began loading without latency, as confirmed by QA. Further no such issues noticed.  Hence resolving the incident. 

Related tickets : NA"
"INC0648746","[P-2604991] Business Events [4] Processing Stopped from 05:42?AM to 06:12 AM BST","We have restarted the availability-business-events-service-opera-4 , after that events are flowing up"
"INC0648554","[P-2604945] AEM Content Replication error from 11:13 PM to 11:39 PM","We got similar issue (INC0648538), As the publisher queue is blocked, we have updated the transport uri http://10.150.188.39:4503/bin/receive?sling:authRequestLogin=1 for one the publisher."
"INC0648538","[P-2604932] AEM Content Replication error from 10:45 PM to 11:09 PM","As the publisher queue is blocked, we have updated the transport uri http://10.150.188.39:4503/bin/receive?sling:authRequestLogin=1 for one the publisher."
"INC0647735","[P-2604799]  Premier Inn - Android: Mobile app crash rate increased from 11:07?AM to 11:38 AM BST","Resolved it self after 10mins"
"INC0647478","[P-2604781] [Problem] High number of Payment Webhook Declines from 01:11 AM to 01:43 AM","During the reviewed timeframe, we observed that the majority of payment declines were due to valid reasons such as low funds, lifecycle?declined, bad format, restricted card, and not authorized. We also identified multiple retry attempts from the same users."
"INC0647386","Price mismatch observed between SRP and HDP for multiple hotels and rate plans.","issue summary : Price mismatch observed between SRP and HDP for multiple hotels and rate plans on 24th APR
solution provided : We noticed that there was price mismatches between SRP and HDP for the hotels LEETGI ,HEAMTI  . Av Cache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further OnDemand job was run for the 2 hotels for 375days from today. Post which, the latest Opera prices (HDP) got updated to the Av Cache DB prices (SRP). This resolved the price discrepancies. In the next occurrence, we will try to deep dive on the discrepancies. Hence resolving the incident.
Parent Incident : INC0541949"
"INC0647329","Click Travel - Premier Inn Exmouth Seafront returning 'No Availability at Specified Property' for 3+ room searches","Resolved due to no response"
"INC0647264","Re:[## 10236376 ##] Invalid Room requirement- PIN","Resolved due to no response"
"INC0647257","[P-2604771] Business Events Processing Stopped from 11:00?AM UTC","service restarted"
"INC0647254","Price mismatch observed between SRP and HDP for multiple hotels and rate plans.","issue summary : Price mismatch observed between SRP and HDP for multiple hotels and rate plans on 24th April
Solution provided : We noticed that there was price mismatches between SRP and HDP for the hotels LONWEM,GLASTA,NEWAVI. AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further Ondemand job was run for all the 3hotels for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies. In the next occurrence, we will  try to deep dive on the discrepancies. Hence resolving the incident.
Parent incident : INC0541949"
"INC0647231","[P-2604768] [Problem] Marketing Access Token Error  from 11:16?AM to 11:30 AM BST","We have cleared marketing service token from Redis cache to allow new token generation. After that error stopped."
"INC0647113","[P-2604762] Business Events [5] Processing Stopped from 07:45?AM to 08:13 AM BST","Issue Summary : Business Events [5] Processing Stopped from 07:45?AM to 08:13 AM BST
Solution provided : The Business Events – 5 service was restarted, after which events began flowing at approximately 8:14 AM BST.
Related Ticket (master incident/change request/ problem) :NA"
"INC0646826","15% drop in SRP conversion ","The fix for this issue was deployed yesterday as part of a hot?fix. We can now proceed to close the ticket, tagging the specific change (CHG0047858) that caused the issue and the subsequent change (CHG0048062) that resolved it."
"INC0646626","[P-2604746] [Problem] Marketing Access Token Error  from 9:26?AM UTC","We have cleared marketing service token from Redis cache to allow new token generation. After that error stopped."
"INC0646620","Guest Support CC - CCUI","Resolution notes copied from Parent Incident: Hi Team,

Around the time of the recent CDH production release, CCUI users reported multiple issues, including application downtime and generic error responses such as ""Something went wrong. Please try again later.""

As a precaution, the incident was analyzed for any potential correlation with the CDH production deployment.

A detailed investigation was carried out by the Digital BAU team, involving:

Review of CCUI application error logs.
Analysis of downstream dependency and API call traces.
Validation of CDH API request/response patterns during the reported impact window.


Log?level :

No errors, exceptions, or elevated failure rates were observed from CDH APIs.
No timeout, connectivity, authentication, or authorization issues were detected on the CDH side.
There is no log correlation indicating that the CCUI errors were triggered by CDH APIs or the recent CDH deployment.


Next Steps :

Kindly reassign this ticket to the Digital BAU team, who will continue the investigation in coordination with Karolina and team to identify and resolve the root cause within the CCUI layer.

Closure from Avanade Side:

As there is no impact identified from the CDH end and CDH services are operating as expected, this ticket is being closed from the Avanade/CDH end.

Regards,
Akanksha "
"INC0646250","[P-2604728]  Browser monitor global outage from 7:37?PM to 8:36 PM UTC","An intermittent error occurred during this period, preventing users from creating new accounts. The createAccount call consistently returned a 500 error. The issue lasted for 13 minutes before resolving."
"INC0646132","We have noticed that guests using the business.premierinn platform are currently","Since this issue is being tracked under parent incident INC0645904. We are resolving this incident"
"INC0645957","Property Not Available","Root cause:
The error occurred due to a known issue with the Property Not Available status for the ChainCode: PIN, ChannelCode: JIDUTRAVEL, ResortCode: PINGLAENO, RequestDate: 2026-04-22 07:02:50.701, RateCode: SHJMD-FITRTMD1, RoomType: Double, ArrivalDate: 2026-06-02, DepartureDate:  2026-06-07, as indicated by the user's mention of another case being open for the same error and the recommendation to close the current incident. 

Resolution steps:
- Acknowledged the issue and noted that another case was already open for the same error, as per the user's comment: 'Shiji are aware of the issue. Another case open regarding the same error - This INC can be closed.'
- Recommended closing the current incident based on the existence of the duplicate case."
"INC0645904","DE - Digital - Business - Premier Inn Business Customers are unable to book breakfast via their account for the german hotels","Root cause:
The issue was observed following the deployment of Change CHG0047858, which caused missing meal options for DE hotels in PIB, where only the Meal Deal – Dinner, Drink, and Unlimited Breakfast option was available.

Resolution steps:
- A hotfix (CHG0048065) was planned and scheduled to be deployed on Monday, 27 April, to address the missing meal options for DE hotels.
- Post implementation of the change, the breakfast option is now visible. The caller has confirmed that the reported issue has been resolved successfully. Individual breakfast options are displaying correctly for DE sites under PIB

- The change was live on 27th April between 06:00 AM and 08:00 AM. "
"INC0645899","Invalid Room Requirement Error","Resolved due to no response"
"INC0645896","[P-2604713] Business Events Processing Stopped from 7:30?AM UTC","restarted the service"
"INC0645862","[P-2604708] No pod ready from 4:45?AM UTC","CE team updated the wb_token key then we have restarted the meta services."
"INC0645826","[P-2604705] Business Events [2] Processing Stopped from 03:13 ?AM to 04:14 AM","Issue Summary : Business Events [2] Processing Stopped from 03:13 ?AM to 04:14 AM
Solution provided : We restarted Business Event?2, after which we observed that events began flowing from 4:15 AM.
Related Ticket (master incident/change request/ problem) :NA"
"INC0645756","[P-2604700] [Problem] High number of Payment Webhook Declines from 1:08?AM to 1:11 AM UTC","with in the threshold ,hence closing this incident"
"INC0645635","[P-2604686] Business Events [3] Processing Stopped from 07:30 PM to 08:06 PM BST","Resolved after service restart"
"INC0645555","[P-2604679] Drop in Bookings during Business Hours from 4:30?PM to 5:05 PM UTC","This issue is be tracked under parent incident INC0645365"
"INC0645484","[P-2604676] Drop in Bookings during Business Hours from 1:30?PM UTC","This issue is be tracked under INC0645365
"
"INC0645437","UK | KILMOO | Digital - Business - unable to see booking dashboard","Resolved due to no response"
"INC0645396","Digital - Business - unable to view booking on PIB dashboard","Issue Summary :  Business - unable to view booking on PIB dashboard
Solution provided : ACL1139870 (Contains two confirmation number)
The details are available in the Basket and visible on the Dashboard; however, the ""Booked By"" field is showing as null. The record was and the details are present in CDH.
This is known issue, we already have a CTECH-6201 (InProgress) (Confirmation Number 2484285478, Reservation contact is missing for one confirmation number due to that Booked by field is coming as null. Other confirmation number have reservation contact.
ACL6782427(Contains two confirmation number)
The details are available in the Basket and visible on the Dashboard; however, the ""Booked By"" field is showing as null. The record was and the details are present in CDH.
This is known issue, we already have a CTECH-6201 (InProgress) (Confirmation Number 2484285517, Reservation contact is missing for one confirmation number due to that Booked by field is coming as null. Other confirmation number have reservation contact.
Related Ticket (master incident/change request/ problem) :NA
"
"INC0645365","[P-2604672] Drop in Bookings during Business Hours from 9:30?AM UTC","Issue Summary: [P-2604672] Drop in Bookings during Business Hours from 9:30?AM UTC
Solution Provided: No specific errors were identified that could have contributed to the drop in bookings after our review. Based on our analysis, the alert was likely triggered due to a configuration issue in Dynatrace where the workflow timestamp was set to a 30?minute timeframe but was effectively evaluating a 31?minute or longer time window. This has now been corrected to a 30?minute timeframe. Following this change, no further alerts have been triggered.
Parent incident: No"
"INC0645364","Digital - Business - unable to view booking on dashboard and receives error","Resolved due to no response"
"INC0645357","DE | DUSCIT | CCUI_OPERA_ CCUI cancels Routing instructions in Opera when amending a booking.","Issue Summary : CCUI deletes Routing instructions in Opera when amending a booking.

Solution Provided :  Backend logs indicate that routing instructions linked to the reservationId 307845191(GBJ7076632) are being deleted during amendments. We replicated the issue in our systems (reference: GBJ5857096, single-room booking) and confirmed that the backend is invoking deleteRoutingInstructions for the reservationId during the amendment process. A similar incident has already been raised for multi-room bookings, so this case is being tagged as a child of that incident. Further updates will be tracked under INC0608028 / CTECH-5985. Hence resolving the incident.

Related Ticket : INC0608028 / CTECH-5985"
"INC0645341","[P-2604671] No Booking with Payment from 8:30?AM UTC","This hotel is NSO which is yet to be live. Currently BAU team is working on few steps which are required as part of go live. Till the complete testing is done , We need to add this hotel FRAESC in exclusion list"
"INC0645340","[P-2604666]  Failure rate increase from 7:52?AM UTC","Issue Summary :  Failure rate increase from 7:52?AM UTC
Solution provided : The spikes and error logs (get Labels) originated from the Wanda environment for content service. The issue was caused by the AEM dispatcher service, which was not accepting any calls. After restarting, the service resumed normal operation.
Related Ticket (master incident/change request/ problem) : INC0645321
"
"INC0645339","[P-2604670] [Problem] High number of 5xx Errors from Content Entity Service from 8:16?AM UTC","Issue Summary : High number of 5xx Errors from Content Entity Service from 8:16?AM UTC
Solution provided : During pre?live, the Castor HTTPS page failed to load, leading to issues after restarting the dispatchers when AVD could not connect. Troubleshooting revealed the Castor IP had been removed from AVD, and re?adding it resolved the problem. Errors were observed only in WANDA, with none in HULK (LIVE), and Meena confirmed no such errors are expected in LIVE. The missing dispatcher IP was linked to old office IP removal activity already completed in the PRE?LIVE cluster. Sathish Kumar will follow up with Krithika.
Related Ticket (master incident/change request/ problem) :INC0645321"
"INC0645338","[P-2604669] [Problem] High number of 5xx Errors from Content Entity Service from 8:12?AM UTC","Issue Summary : High number of 5xx Errors from Content Entity Service from 8:16?AM UTC
Solution provided : During pre?live, the Castor HTTPS page failed to load, leading to issues after restarting the dispatchers when AVD could not connect. Troubleshooting revealed the Castor IP had been removed from AVD, and re?adding it resolved the problem. Errors were observed only in WANDA, with none in HULK (LIVE), and Meena confirmed no such errors are expected in LIVE. The missing dispatcher IP was linked to old office IP removal activity already completed in the PRE?LIVE cluster. Sathish Kumar will follow up with Krithika.
Related Ticket (master incident/change request/ problem) :INC0645321"
"INC0645322","[P-2604668] [Problem] High number of 5xx Errors from Content Entity Service from 7:47?AM UTC","Issue Summary : High number of 5xx Errors from Content Entity Service from 8:16?AM UTC
Solution provided : During pre?live, the Castor HTTPS page failed to load, leading to issues after restarting the dispatchers when AVD could not connect. Troubleshooting revealed the Castor IP had been removed from AVD, and re?adding it resolved the problem. Errors were observed only in WANDA, with none in HULK (LIVE), and Meena confirmed no such errors are expected in LIVE. The missing dispatcher IP was linked to old office IP removal activity already completed in the PRE?LIVE cluster. Sathish Kumar will follow up with Krithika.
Related Ticket (master incident/change request/ problem) :INC0645321"
"INC0645321","[P-2604667] [Problem] High number of 5xx Errors from Content Entity Service from 7:46?AM UTC","restart has been done on dispatcher service"
"INC0645209","[P-2604657] Drop in Availability for Restaurants from 02:00?AM to 04:59 AM BST ","The zonal activity has been completed and validated. Restaurant and table booking slots are now available. The activity took approximately half an hour longer than the scheduled timeframe.  we are good to close this thread."
"INC0645148","[P-2604656]  Failure rate increased in liveres.co.uk from 01:14?AM to 03:38 AM BST","The zonal activity has been completed and validated. Restaurant and table booking slots are now available. The activity took approximately half an hour longer than the scheduled timeframe.  we are good to close this thread."
"INC0644949","DE-DUSCIT||GBJ0052993The guest of this reservation wanted to change the reservation","Resolved due to no response"
"INC0644869","Digital - Business - Incorrect check in date on bookings dashboard","We are currently unable to replicate the reported issue.
Upon verification, the arrival date is in sync across Digital, CDH, and Opera.

Checks needed from user end as below

Verify the time zone settings, and
Clear the browser cache and recheck the issue."
"INC0644813","Digital - Business - Booking missing from dashboard","Resolved due to no response"
"INC0644592","Employee booking failed yesterday (19Apr2026)","Booking basket expired due to user inactivity exceeding the 30-minute basket validity window before payment completion.

The user initiated a booking at 11:30 AM (GMT), but there was no activity for approximately 25 minutes. The payment process began at 11:57 AM, and the payment ID 71873232243D was successfully created at 12:00:57 PM.
However, the booking basket expired before payment completion. As per system design, the basket remains active only for 30 minutes. Due to this timeout, the payment could not be linked to an active basket, resulting in booking failure.
Subsequently, as per Planet Portal, the user re-attempted the booking using the employee rate, and the booking was successfully confirmed in Opera."
"INC0644563","[P-2604648] No Booking with Payment from 9:30?AM to 9:45 AMUTC","This hotel (MANNRQ) is  a NSO which is yet to be live. We have added this hotel in exclusion list so that alert will not trigger again until it will go live."
"INC0644486","[P-2604644] Business Events [4] Processing Stopped from 7:00?AM UTC","Issue Summary : Business Events [4] Processing Stopped from 7:00?AM UTC
Solution provided : We restarted the Business Events [4] and we are able to see that events starts flowing from 7:24 am.
Related Ticket (master incident/change request/ problem) :NA"
"INC0643820","[P-2604621] Drop in Availability for HTTP Monitors from 5:10?AM ","Create reservation guest call part of the hotelreservationcontroller timed out resulted in drop in availability between 5:00 and 05:01 Am uk time. Next successive run was successful. No issue observed with the application

Seems like a glitch in getting the response for the HTTP monitor and unfortunately triggered the alert as 2 out of 10 samples failed in 10 minute period which is 80% failure resulted in breaching the threshold of 90%. No issues observed with the application or the response.
Threshold will be updated once we have discussion with SRE team as these alerts were created by SRE. For now the HTTP monitor workflow is disabled to get rid of false positive."
"INC0643701","[P-2604619] Drop in Availability for HTTP Monitors from 2:00?AM to 02:20 AM","Request timeout from third party resulted in failure between 1:57 and 1:58 AM.

Seems like a glitch in getting the response for the HTTP monitor and unfortunately triggered the alert as 2 out of 10 samples failed in 10 minute period which is 80% failure resulted in breaching the threshold of 90%. No issues observed with the application or the response.
Threshold will be updated once we have discussion with SRE team as these alerts were created by SRE. For now the HTTP monitor workflow is disabled to get rid of false positive."
"INC0643574","[P-2604615] Drop in Availability for HTTP Monitors from 10:10?PM UTC","Target server failed to respond error from third party resulted in failure between 23:07 and 23:15.

Seems like a glitch in getting the response for the HTTP monitor and unfortunately triggered the alert as 2 out of 10 samples failed in 10 minute period which is 80% failure resulted in breaching the threshold of 90%. No issues observed with the application or the response.
Threshold will be updated once we have discussion with SRE team as these alerts were created by SRE. For now the HTTP monitor workflow is disabled to get rid of false positive."
"INC0643405","[P-2604609] Drop in Availability for HTTP Monitors from 4:40?PM UTC","Two HTTP monitor failed at 05:34 and 05:35 PM UK time respectively. Next run at 05:36 PM was fine. Availability was timed out for the failed ones. Later the same dates used in the script provided availability in the successive runs. Seems like a glitch in getting the response for the HTTP monitor and unfortunately triggered the alert as 2 out of 10 samples failed in 10 minute period which is 80% failure resulted in breaching the threshold of 90%. No issues observed with the application or the response.

Threshold will be updated once we have discussion with SRE team as these alerts were created by SRE. For now the HTTP monitor workflow is disabled to get rid of false positive."
"INC0643367","[P-2604608] Drop in Availability for HTTP Monitors from 2:20?PM UTC","Get Static content call in content-entity-service:GlobalConfigController via GQL took more than 10 seconds resulted in drop in availability 03:15 and 03:17 PM UK time. Next successive run at 03:18 was success. No issue in loading the static content.

Seems like a glitch in getting the response for the HTTP monitor and unfortunately triggered the alert as 2 out of 10 samples failed in 10 minute period which is 80% failure resulted in breaching the threshold of 90%.

Threshold will be updated once we have discussion with SRE team as these aleerts were created by SRE. For now the HTTP monitor workflow is disabled to get rid of false positive."
"INC0643341","[P-2604606] Drop in Availability for HTTP Monitors from 12:30?PM UTC","Two HTTP monitor failed at 12:21 and 12:22 UK time respectively. Next run at 12:23 was fine. Availability was null for the failed ones. Later the same dates used in the script provided availability in the successive runs. Seems like a glitch in getting the response for the HTTP monitor and unfortunately triggered the alert as 2 out of 10 samples failed in 10 minute period which is 80% failure resulted in breaching the threshold of 90%. No issues observed with the application or the response.

Threshold will be updated once we have discussion with SRE team as these alerts were created by SRE. For now the HTTP monitor workflow is disabled to get rid of false positive."
"INC0643140","Digital - Business - Tethering/untethering issue vi PIB","Resolved due to no response"
"INC0643106","Internal 500 error","Resolved due to no response"
"INC0643046","[P-2604594] [Problem] AEM Content Replication error from 01:24?PM to 01:50 PM BST","Issue:

->Replication in AEM was blocked because one of the publisher agents had an incorrect configuration. Specifically, the replication agent's URL/IP address was missing, which prevented successful communication with the publisher.

Impact:

->Pages replicated from Author were not delivered to Publisher. The replication queue was blocked, resulting in pending items that could not be processed until the issue was resolved.

Workaround Applied:

->Logged into the Author instance.

->Navigated to the replication agent's configuration.

-> Identified the publisher agent with missing IP address in the replicating URL.

->Updated the agent configuration with the correct publisher IP to restore replication.

Checks Performed:

->Verified replication agent status in Author.

->Confirmed that the missing IP was the root cause of the blocked queue.

->Ensured replication resumed successfully after updating the IP.

->An infra ticket for this incident https://whitbreadis.atlassian.net/browse/INFRA-1514"
"INC0642985","Digital - Business - Not receiving password reset email","Resolved due to no response"
"INC0642968","[P-2604592] Drop in Availability for HTTP Monitors from 10:10?AM UTC","HTTP monitor for hotel availabilty request timed out due to slow response from Oracle which in turn impacted the availability. We see oracle is taking more than 5 seconds to respond back for certain set of calls. We reported the same to the Oracle under INC0640413.  will be further tracked under  INC0640413
"
"INC0642939","Allowance Issue","its mistake from partner, they sent cnp request with  no parking fee"
"INC0642836","[P-2604584] Drop in Availability for hotel-entity-service:SearchResultsPageController HTTP Monitors from 01:10 AM to 02:40 AM","We could see the SRP page is loading fine for any location search. But the synthetic monitor is keeps on failing with 400 response code

After spending lots of effort in checking the various logs , identified that the dates are hard coded in the synthetic monitor as 16th April as arrival date which is past date from today(17th April), hence it was errored out in graphQl layer.

Dates updated in the script and it strated working fine. No further issue observed. Hence closing the ticket."
"INC0642801","[P-2604576] Failure rate increase in hotel-login-service-opera: HotelLoginController from 07:02 PM to 07:55 PM","Seems like request to the bart URLs - https://digitalbookings.premierinn.com/csp/sql/ws.Corporate.DashboardService.cls
As BART services are not available, it is erroring out in 503. There is no issue with the actual login journey as we are not using any BART endpoints. Issue seems to be due to invalid request.

Could see that these request were always errored in 503 in akamai as well. Most of the hits are from the Germany IP address. Probably someone is mistakenly hitting the BART URLs
There is no impact in PI or PIB login. These are invalid calls.

There is no issue with the application as these are Invalid calls. No further action required. HEnce resolving the ticket."
"INC0642789","‘category 2’ of cancellation policies","Resolving it as confirmed by the caller.This ticket is raised  to verify category2 is used anywhere in the code and being returned to the partners request. It is confirmed there is no reference for category 2 anywhere in the code. Hence resolving the ticket."
"INC0642736","[P-2604575] Drop in Bookings during Business Hours from 03:30 PM to 04:05 PM","There is no impact in Revenue and the visits are less comparitively. Hence closing this incident. "
"INC0642637","Rate type/Availability issue","updated the details to caller"
"INC0642629","Availability Issue","Resolved due to no response"
"INC0642583","Digital - CCUI -When guest booked an early checkin or a late checkout, this add on will be delet","Resolved due to no response"
"INC0642558","Sometimes CCUI does not finish a booking because the company name is too long. N","As confirmed by the user, the issue is not reproducible at this time. The user has been advised to raise a new incident should the issue recur and to provide clear and accurate screenshots to enable further analysis."
"INC0642496","Opera - When a guest booked a Bundrate (Corp. ID 10002585), the guest is unable to enter the booking thgough our www.premierinn.de/www.premierinn.com website. U","issue summary : unable to search booking in premierr inn with rate type - BUNDRBB 
solution provided : The booking with rate type BUNDRBB is not intended to be searchable on PI.com. It can be retrieved in CCUI if the booking was created via CCUI, and in PIB if it was created via PIB, which is working as expected.
However, it was mentioned in the incident that the booking is amendable. Please note that negotiated rates are currently not amendable via any digital channel and can only be amended through the Opera UI at present.
For future enhancements to support this functionality across CCUI, a Jira has already been raised.
Jira Ref:https://whitbreadis.atlassian.net/browse/CTECH-769
Parent incident : NA"
"INC0642489","Opera - When we want to change a booking that was booked with the Bundrate (Corp. ID 10002585) we are unable to change/amend anything. This is the case for any","Resolved due to no response"
"INC0642445","[P-2604563] [Problem] Marketing Access Token Error  from 8:14?AM to 08:24 AM BST","issue summary :Marketing Access Token Error  from 8:14?AM to 08:24 AM BST
Solution provided : We observed a market access token error. As a workaround, the old cached market access token was cleared from the Redis cache, which resolved the issue.
 Parent incident : NA"
"INC0642381","[P-2604559] Business Events [5] Processing Stopped from 04:06 AM to 04:36 AM BST","This issue is related to the recent trigger enabled in AVCache for the meta updater delta feed change. Restarted the service and it started processing the event. This issue is reported to the corresponding DEV team under INC0637041. Will be further tracked under INC0637041."
"INC0641989","Re-use detail button does not work anymore. When trying to reserve a room CCUI o","Fix for this issue has been deployed in production as part of Digital Release 26.1.1 & 26.1.2 (CTECH-3319). User confirmed that it is working fine. Hence closing this incident"
"INC0641980","[P-2604552] Drop in Availability for HTTP Monitors from 4:30?PM to 4:50PM UTC","HTTP monitor for hotel availabilty request timed out due to slow response from Oracle which in turn impacted the availability. We see oracle is taking more than 5 seconds to respond back for certain set of calls. We reported the same to the Oracle under INC0640413.  will be further tracked under  INC0640413"
"INC0641934","Meal allowance not passing","Resolved due to no response"
"INC0641882","Digital - Business - ","no response from user"
