"number","short_description","close_notes"
"INC0662653","Delay in business events processing - 22nd May 2026","Issue Summary : Delay in business events processing - 22nd May 2026.

Solution Provided : From the ATE report, we noted that ~0.92M messages were triggered due to overnight ATE changes. During monitoring, delays were observed in streaming business events (Summary totals, Apply daily rates, Rate restrictions), which caused discrepancies between SRP and HDP and risked inconsistent pricing and availability. A solution has already been proposed under parent ticket INC0642990 / CTECH-9462, and we are awaiting a development fix from the respective team. As of 11:00 AM UK time on 25 May 2026, no delays in processing business events are observed. Hence resolving the incident.

Related Tickets : INC0642990 / CTECH-9462"
"INC0662580","Price mismatch observed between SRP and HDP for multiple hotels and rate plans.","Issue Summary : Price mismatch observed between SRP and HDP for multiple hotels and rate plans.
Solution provided : We noticed that there was price mismatches between SRP and HDP for the hotels CARBAR, LONWAT, BRIBAR, HEAPTI, LONHAY, SLOWES, DONTAB, EDINEW. AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further Ondemand job was run for the 8 hotels for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies. In the next occurrence, we will try to deep dive on the discrepancies. Hence resolving the incident.
Related Ticket (master incident/change request/ problem) :INC0541949"
"INC0662547","[P-2605665]  Unexpected low traffic from 7:53?AM UTC","The requests failed because the system could not find a valid basket for the given reference, resulting in a 400 Bad Request error."
"INC0662532","[P-2605664] [Problem] High number of 5xx Errors from Content Entity Service from 7:54?AM UTC","This is due to the invalid combination of country and language. Hence closing this incident"
"INC0662462","[P-2605655] Drop in Availability for HTTP Monitors from 11:40?PM to 12:00 AM UTC","Hi Team, as per the intial analysis we found that the getAddressesByPostcode and getFormattedAddress, took more than 10 secounds to respond and we had a failure due to that. Hence we see the drop in availability.

The systems have returned back to it original state after 10 minutes and we could see success for the subsequent calls.

Thank you,
Sundar M"
"INC0662233","DE - Digital - CCUI - Guest booked two rooms -> STUBAD // 01.-03.07.2026 // 1 FMTHRE (1 adult, 1 child)","Resolved due to no response"
"INC0662177","PROD - Opera - DE - HEIBRO. - Confirmation Number 2509511450 Showed cancel on Website but gets back to active later. ","Resolved due to no response"
"INC0662107","[P-2605627] [Problem] Marketing Access Token Error  from 8:11?AM UTC","Token refreshed , Problem resolved after token refresh"
"INC0662084","[P-2605622] [Problem] High number of 5xx Errors from Content Entity Service from 7:11?AM UTC","Hi Team, 

As we see most of the calls are due to the closed hotels, Hence we get this error. Other urls are operational and there is no impact in booking or revenue. Hence closing this incident. 

Thank you,
Sundar M"
"INC0662009","[P-2605621] [Problem] High number of 5xx Errors from Content Entity Service from 5:29?AM UTC","Issue Summary :  High number of 5xx Errors from Content Entity Service from 5:29?AM UTC.
Solution provided : As we see most of the calls are due to the closed hotels, or for NSO's for which opening date is 1 july. Hence we get this error. Other urls are operational and there is no impact in booking or revenue. Hence closing this incident. 
Related Ticket (master incident/change request/ problem) :NA"
"INC0661779","[P-2605616]  Response time degradation from 11:02?PM UTC","Issue Summary : Response time degradation from 11:02?PM UTC
Solution provided : During the mentioned time frame, several calls to the endpoint
/csp/sql/OTA.AP.AvailService.cls experienced response times above the established baseline. Despite the latency, the API consistently returned HTTP 200 OK status codes, indicating successful execution. The issue was transient in nature and resolved automatically after some time without requiring manual intervention.
Related Ticket (master incident/change request/ problem) :NA"
"INC0661611","[P-2605612] Business Events Processing Stopped from 4:45?PM to 5:05 PM UTC","The last process from availability-business-events-service-opera-4 was recorded at 04:20PM. Following a restart, events have resumed flowing normally."
"INC0661511","[P-2605603] Business Events Processing Stopped from 12:00?PM UTC","The last process from availability-business-events-service-opera-5 was recorded at 12:38 PM. Following a restart, events have resumed flowing normally."
"INC0661430","[P-2605599] Drop in Bookings during Business Hours from 9:30?AM UTC","Issue Summary : Drop in Bookings during Business Hours from 9:30?AM UTC
Solution provided : There is a slight drop in bookings and revenue compared to previous week. The reservations during the affected window (09:30 - 11:00 UK time) for this week and previous week visit count looks similar. No major errors or issues noticed across the major services KPI. The payment conversion looks healthy and no spikes in the declines across all cards. Other major services are not having any latency./ error spike.
Related Ticket (master incident/change request/ problem) :NA"
"INC0661409","[P-2605597] No Booking with Payment from 8:30?AM UTC","The location DOVDUK is approaching its disposal date."
"INC0661407","Guest Support CC - Premier Inn Website","This is a known issue observed during the reservation amendment process. Rate fetch and pricing update are being triggered unnecessarily, even when there are no changes to stay dates, room type, or any rate-impacting attributes.
A JIRA ticket has already been raised to address this bug. Further tracking and updates will continue under the associated parent ticket.
Please refer to the attached JIRA ticket and parent ticket for detailed information and ongoing follow-up.

Incident - INC0658551
JIRA- https://whitbreadis.atlassian.net/browse/CTECH-9273"
"INC0661378","[INFRA-1636] [P-2605593]  Failure rate increase from 6:36?AM UTC","As this issue has been logged to CE team via Infra ticket, hence closing this incident. 

INFRA ticket:  https://whitbreadis.atlassian.net/browse/INFRA-1636"
"INC0661320","[INFRA-1633][P-2605570] [Problem] High number of 5xx Errors from Content Entity Service from 4:13?AM UTC","As this is being investigated by the CE team through Infra ticket, We are closing this incident.

INFRA ticket: https://whitbreadis.atlassian.net/browse/INFRA-1633"
"INC0661276","[P-2605566] [Problem] High number of Payment Webhook Declines from 2:04?AM UTC","As systems have retured to normal state, we are closing this incident"
"INC0661084","[P-2605562]  Failure rate increase from 4:08?PM UTC","As there is no business impact, We are closing this incident. Thank you, Sundar M"
"INC0660995","[P-2605554] [Problem] Marketing Access Token Error  from 2:09?PM to 2:39 PM UTC","Token refreshed"
"INC0660905","Stored Card Payment journey doesn't work","Resolved due to no response"
"INC0660883","Price mismatch observed between SRP and HDP for a single hotel and rate plan on 19th MAY","Issue summary: Price mismatch observed between SRP and HDP for a single hotel and rate plan on 19 thMAY
Solution provided: We noticed that there was price mismatch between SRP and HDP for the hotel GATTHY . AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further Ondemand job was run for the hotel (GATTHY) for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies.
Parent Incident : INC0541949
"
"INC0660868","Fwd:[PIN-QYJI]-[] [AMR] CreateRes__SwitchLogsMonitorWarn","Issue Summary : I am reaching out regarding a failed CreateRes logs we recieved recently. The error recieved was ""(08)PRIOR STAY - Arrival Must not be Before Today"", however, the reservations were not made for a date in the past. 

Solution Provided : We were unable to reproduce the reported issue when posting availability requests using the same parameters provided by partner SHIJI. The availability responses are functioning as expected. Additionally, the caller confirmed that the problem was related to their card. Hence resolving the incident as confirmed by the caller.

Related Tickets : NA"
"INC0660448","[P-2605514]  Response time degradation from 10:00?PM UTC","Closing this incident as there is no business impact."
"INC0660350","[P-2605509] Business Events Processing Stopped from 7:45?PM UTC","As we don't see any failure we are closing this incident. "
"INC0660262","Digital - Business - Issues with website freezing / timing out","Resolved due to no response"
"INC0660059","[P-2605500] High number of 5xx Errors from Content Entity Service from 06:27 AM to 09:18 AM","As this is a known issue and these are invalid request sent from the upstream systems. Hence closing this incident. "
"INC0660028","INC0660028 |   London Sidcup [Premier Inn] | BFQP02 | Kiosk - Payments - stuck on payment screen of -£.6.00 cant remove it as guest has check in on the desk","This is a known issue. The problem happens because the account shows a negative balance, likely due to the API process, which is causing payment failures.
We already have a ticket raised with the WB-Digital-Kiosks team for this issue. This issue will be tracked under the parent ticket-INC0633933. Hence, marking this as a duplicate and closing."
"INC0659973","UK- BIRCOL || PROD - Opera - CCUI changing Price for existing reservation when amending guest names, the price increase was added by Opera. ","This is a known issue observed during the reservation amendment process. Rate fetch and pricing update are being triggered unnecessarily, even when there are no changes to stay dates, room type, or any rate-impacting attributes.
A JIRA ticket has already been raised to address this bug. Further tracking and updates will continue under the associated parent ticket.
Please refer to the attached JIRA ticket and parent ticket for detailed information and ongoing follow-up.

Incident - INC0658551
JIRA- https://whitbreadis.atlassian.net/browse/CTECH-9273"
"INC0659748","[P-2605456] Drop in Availability for HTTP Monitors from 10:20 AM to 10:40 AM","The failure was reported for the service address-lookup-entity-service:AddressLookupController via GQL but while checking, the service was good and there was no failures observed on the service and the throughput also was good. There was no failures observed on the address look up related activities during health check. The alert resolved by itself. Hence as of now we are closing this ticket from our end. 
 "
"INC0659549","DE - PIB - Amendment / Unexpected Rate Increase on email adress change   Comp ID: 	","This issue will be tracked under the parent ticket. Hence, marking this as a duplicate and closing."
"INC0659441","[Alert] Observed spikes in Snowdrop PI.com Calls between 07:45 AM to 08:25 AM","We could see there is high number of request count during that time frame for autoComplete calls but all calls were successful without any high response time (response time is less than 500 ms). Only 2 calls were taken more than 1 second. There was no any issue observed with BE and FE services during issue window. "
"INC0659357","[P-2605416] Opera Deposit Folio Errors from 09:00 AM to 09:15 AM","This is a known issue where Pricing inconsistencies are occurring for Meal Deal Flex rates during the booking process. This is being further tracked under the JIRAhttps://whitbreadis.atlassian.net/browse/CTECH-6101

Response body: {type=Bad Request, title=A balance exists, cannot generate a Folio, detail=A balance exists, cannot generate a Folio, o:errorCode=FOF00386, instance=HEAFOU-null, language=en}""
"
"INC0659176","PROD|UK-EDIROS||Opera - available rooms from opera not showing on premier inn website","Resolved due to no response"
"INC0659004","Digital - Business - Amending names increased booking price","We will continue to track this ticket under the parent ticket, as an Engineering bug fix ticket has been requested.
Hence, we are proceeding with closing this incident."
"INC0658993","Digital - Business - Amending names has increased booking price","We are investigating this issue under parent incident- INC0658551. The JIRA ticket is created for this - https://whitbreadis.atlassian.net/browse/CTECH-9273"
"INC0658855","[P-2605368] On-Demand Jobs Finished Abnormally from 07:00 to 07:30 AM","All Job threads were finished successfully and there was no errors observed."
"INC0658854","[P-2605367] Drop in Availability for Restaurants from 07:00 AM to 07:49 AM","The Alert was triggered during release.
As per the release plan we have scaled down and Scaled Up and Jobs except meta jobs as the meta jobs has already started its scheduled run. We waiting for that to complete. The traffic switch was pending to perform due to the meta job. Once we started receiving the problems we switched the traffic and resolved the issue. Later meta jobs also scaled down and Scaled up. Health check was performed and confirmed the issue has got resolved.

No issues observed with the applications. All Restaurant websites are loading fine and slots are available. "
"INC0658847","[P-2605361]  [frontend availability] SLO for premier-inn:premier-inn alert from 5:06?AM UTC","This issue created during release window. After switching the traffic from wanda to hulk , issue got resolved. Thanks"
"INC0658846","[P-2605349]  Failure rate increase from 4:59?AM UTC","The Alert was triggered during release.
As per the release plan we have scaled down and Scaled Up and Jobs except meta jobs as the meta jobs has already started its scheduled run. We waiting for that to complete. The traffic switch was pending to perform due to the meta job. Once we started receiving the problems we switched the traffic and resolved the issue. Later meta jobs also scaled down and Scaled up. Health check was performed and confirmed the issue has got resolved."
"INC0658842","[P-2605365] [Critical] - PI SRP Very High Failure Rate from 5:11?AM UTC","The Alert was triggered during release.
As per the release plan we have scaled down and Scaled Up and Jobs except meta jobs as the meta jobs has already started its scheduled run. We waiting for that to complete. The traffic switch was pending to perform due to the meta job. Once we started receiving the problems we switched the traffic and resolved the issue. Later meta jobs also scaled down and Scaled up. Health check was performed and confirmed the issue has got resolved."
"INC0658839","[P-2605362] Drop in Availability for HTTP Monitors from 5:10?AM UTC","The Alert was triggered during release.
As per the release plan we have scaled down and Scaled Up and Jobs except meta jobs as the meta jobs has already started its scheduled run. We waiting for that to complete. The traffic switch was pending to perform due to the meta job. Once we started receiving the problems we switched the traffic and resolved the issue. Later meta jobs also scaled down and Scaled up. Health check was performed and confirmed the issue has got resolved."
"INC0658838","[P-2605360] [Distribution Problem] Spike in Distribution Errors from 5:06?AM UTC","The services have recovered and those are intermittent spikes. Hence closing this incident"
"INC0658837","[P-2605359] Browser monitor global outage from 5:07?AM UTC","We are checking this issue under parent incident - INC0658832. Hence closing this incident"
"INC0658836","[P-2605358] [Problem] 100% Failure Rate Increase from 5:06?AM UTC","The Alert was triggered during release.
As per the release plan we have scaled down and Scaled Up and Jobs except meta jobs as the meta jobs has already started its scheduled run. We waiting for that to complete. The traffic switch was pending to perform due to the meta job. Once we started receiving the problems we switched the traffic and resolved the issue. Later meta jobs also scaled down and Scaled up. Health check was performed and confirmed the issue has got resolved.
"
"INC0658834","[P-2605356] Browser monitor global outage from 5:03?AM UTC","We are checking this issue under parent incident - INC0658832. Hence closing this incident"
"INC0658832","[P-2605351] Browser monitor global outage from 5:00?AM UTC","This issue created during release window. After switching the traffic from wanda to hulk , issue got resolved. Thanks"
"INC0658636","Guildford North (A3) Premier Inn is showing as 8.82 miles from Guildford, UK whe","Issue Summary : Guildford North (A3) Premier Inn is showing as 8.82 miles from Guildford, UK whe
Solution provided : The content team has updated the coordinates; hence, closing this incident.
Related Ticket (master incident/change request/ problem) :NA"
"INC0658529","Price mismatch observed between SRP and HDP for a single hotel and rate plan on 13th MAY","Issue Summary : Price mismatch observed between SRP and HDP for multiple hotels and rate plans on 13th MAY
Solution Provided: We noticed that there were price mismatches between SRP and HDP for the hotels LEEWHI. AvCache DB was not being updated with the latest updates and hence SRP prices were showing some mismatches. Further Ondemand job was run for the 2 hotels for 375days from today. Post which, the latest Opera prices (HDP) got updated to the AvCache DB prices (SRP). This resolved the price discrepancies. In the next occurrence, we will try to deep dive on the discrepancies. Hence resolving the incident.
Related Tickets : INC0541949"
"INC0658500","CCUI changing Price for existing reservation when ammending guest namesWe just","We are currently investigating this issue under the parent incident INC0658551. A corresponding JIRA ticket has been created: CTECH-9273 (https://whitbreadis.atlassian.net/browse/CTECH-9273).
All duplicate incidents related to this issue are being closed, and only the parent incident will remain open for further tracking and updates."
"INC0658496","PIB - Amendment / Unexpected Rate Increase on Guest Name Change   Comp ID:  85","We are investigating this issue under parent incident- INC0658551. The JIRA ticket is created for this - https://whitbreadis.atlassian.net/browse/CTECH-9273"
"INC0658450","PIB - Login not possibleWe received several complaints from users that PIB log","This issue was caused by an ongoing MI. The user was unable to log in using the PIB account due to Akamai blocking the CDH Premier Inn domain.
The issue has now been resolved, and the user has confirmed that the login is working as expected."
"INC0658447","[P-2605312]  Browser monitor global outage from 8:03?AM UTC","This alert is triggered due to issue with PIB login issue which already raised as  booking drop alert  under INC0658433. New range of Auth0 Ip address were considered as unknown bots and blocked at Akamai side. Further updates can be tracked under INC0658433 as the issue is resolved now."
"INC0658438","Digital - Business -","We already have incident(INC0658433) opened to investigate this issue and identify the RCA.  This can be further tracked under INC0658433, hence closing this ticket as duplicate and more over the issue is resolved and the same confirmed by the caller."
"INC0658432","[P-2605314] No Booking with Payment from 8:30?AM UTC","All the hotels(HAECEN, KONFUE, MANNCQ) mentioned here are part of NSO. Hence it is expected to not having any payment made for these hotels. Currently it is excluded in the alert to reduce the false alert."
"INC0658428","Digital - CCUI - My CCUI is no longer accepting booking numbers and I can't open any bookings. I keep getting a technical error message: ""We cannot access any b","Resolved due to no response"
"INC0658423","[P-2605311] [Problem] Marketing Access Token Error  from 7:43?AM UTC","Deleted the expired token and new token got generated and the issue got resolved from 8:53 AM BST. Hence closing this ticket from our end."
"INC0658412","KOBCLE - RETURING INCORRECT HOTEL CODE ERROR","updated the  config PR with the config changes"
"INC0658404","[P-2605309] Business Events Processing Stopped from 7:00?AM UTC","availability-business-events-service-opera-4 was stopped receiving events from May 13, 2026 @ 07:36:27.140 No errors were observed and we restarted the service. Resumed receive events from 8:07 AM
We have a parent ticket for this issue, We shall track this issue further with the parent ticket. Closing this ticket for now.

"
"INC0658385","[P-2605308] On-Demand Jobs Finished Abnormally from 6:00?AM UTC","The jobs were finished on time without any errors this seems to be a false alert hence closing this ticket with relevant proofs as screenshot."
"INC0658312","[P-2605296]  Response time degradation from 3:26?AM UTC","This was during Opera change. we informed about this problem in the change call. During this time frame few random requests were taking long time to get the response. This has got resolved during the call itself.  There was no issues observed post release hence closing this ticket"
"INC0658305","[P-2605300]  [Trend Deviation] - High Opera Hotel Availability Response times from 3:38?AM UTC","Resolution notes copied from Parent Incident: Issue : Unable to complete EOD End of day error ""Error occurred while executing user defined procedure HOUSEKEEPING.COMPLETE_ALL_OPEN_TASKSHEETSORA-06550:""
Troubleshooting performed : Up on reviewing Opera EOD status, the business date had changed to current business date, but 12th May EOD steps were not completed. This issue was reported by multiple site where INC0658203 being made as parent issue. 

Resolution Notes: An SR raised with Oracle with SR 260513-000270 as this could be because of Opera version update to 25.5.5.1.

Issue resolved by Oracle
"
"INC0658197","[P-2605290]  Failure rate increase from 12:37?AM UTC","There was intermittent failures in calls to github.com for distr config was was failing  on first attempt but getting response on subsequent runs
There is no impact with this. Hence closing this ticket. 

"
"INC0658160","[P-2605267] Http monitor global outage from 12:29 AM to 12:30 AM UTC","We checked and confirmed the issue  looks like it was a real failure.  No action if it was a one-off, but if you see more failures like this with no response, then a manual test is wise.  
As this recovered by itself, we are closing this ticket from our end for now. "
"INC0658120","[P-2605255]  Failure rate increase in basket-service:PaymentController  from 11:00?PM to 11:36 PM UTC","The issue was happened due to some issue from Planet side and we have a master ticket INC0658104 for this issue. We transferred the parent to Planet team to update further root cause analysis, We shall track the issue with parent ticket and shall close this ticket from our end for now."
"INC0657915","Hello,I am a Software Engineer at Click Travel. I'd like to bring an odd cancellation scenario to your attention that requires your technical team's assistanc","NO Response from caller on requested Data"
"INC0657880","DE - Digital - Business - PIB - error on payment page   ","Issue Summary : DE - Digital - Business - PIB - error on payment page   
Solution provided : During the investigation conducted with Planet, it was identified that the booking failed due to a ""ThreeDSecureError – ACS technical issue.""
This error is associated with a technical problem at the bank's Access Control Server (ACS) during the 3D Secure authentication process. Therefore, the issue is not related to the digital booking journey, but rather to the external payment authentication system.
Related Ticket (master incident/change request/ problem) :NA"
"INC0657873","DE - Digital - CCUI - CCUI sets wrong room type for bookings","Issue Summary: DE - Digital - CCUI - CCUI sets wrong room type for bookings
Solution Provided: The caller has agreed to raise a new incident if any issues occur in future"
"INC0657852","DE - Digital - CCUI - CCUI does not show reservation","issue summary : DE - Digital - CCUI - CCUI does not show reservation
solution provided :  we have repushed  the provided bookings after that reservation are visible in the manage booking section in CCUI
parent incident : NA"
"INC0657850","Premier Inn employee offer page is showing only option to do 'Pay on Arrival', app is showing both Pay on Arrival, and Pay Now. Completed a booking for Lichfiel","Resolved due to no response"
"INC0657848","Customer inputted a dinner allowance into Direct Connect but this did not appear on Opera - BFF5128773","Resolved due to no response"
"INC0657821","[P-2605250] [Distribution Problem] Payment Tokenization Failure Monitor from 1:00?PM UTC","We see there are around 7 failures at 01:59 PM UK time which breached the threshold of more than 5 error in 5 minutes resulted in the alert. 3 more errors between 02:08 PM and 02:12 PM. No further errors observed post 02:12 PM. We responded partner with proper response so they retry and complete the booking. Considering the alert just breached the threshold and nothing abnormal in terms of blocking the partners from making the booking, resolving it. 
"
"INC0657816","The Deutsche Bahn travel agency has now also reported that cancellations via Onesto are no longer working.","Resolved due to no response"
"INC0657683","Digital - Business - incorrect dates for bookings","Issue Summary : User is seeing incorrect dates for booking due to being abroad .

Solution Provided :  The booking AUZ6145689 was created with an arrival date of 16 May 2026 and a departure date of 17 May 2026 for the hotel London Hampstead (LONHMP). While all backend systems (Opera, CDH, payment APIs) correctly reflect these dates, the CCUI manage booking screen displays them based on the userDateTime field, which ties to the user's system timezone.  When bookings are made, the dates display correctly in the UK timezone (UTC+1), but when viewed from a US timezone (UTC?6) the dates appear shifted earlier by one day.  The issue is related to how the userDateTime field is being handled. This happens because the system is interpreting booking dates as full timestamps with timezone offsets, rather than fixed calendar dates. As a result, locations ahead of UTC (like the UK) show the expected dates, while locations behind UTC (like the US) show them preponed.

We have CTECH?5245 linked to parent incident INC0596374 for further triage and investigation.

Related Tickets : INC0596374 / CTECH?5245"
"INC0657671","FW: Fehlermeldung Premier Inn Berlin City Spittelmarkt (OBJId 681287)","Issue Summary : Since May 5th, CRC is not able to book for the hotel BERSPI via AMADEUS channel.

Solution Provided : The configuration was updated incorrectly in the hotels.yaml file, with the same ThreeCharCode (DCE) assigned to both hotels BERSPI and KOBCLE.
As a mitigation, a pull request was successfully merged to update the configuration for hotel BERSPI to use ThreeCharCode: DCA. Following this change, successful responses are now being triggered for BERSPI. This has been linked to the parent incident INC0658412 for further details.  Hence resolving the incident as confirmed by the caller over the teams chat.

Related Incidents : INC0658412"
"INC0657662","UK | CANDOV | Digital - Business - unable to view bookings","User can now view bookings"
